         200

 0.532304E+04  0.469650E+06  0.287543E-02  0.000000E+00
 0.548227E+04  0.463990E+06  0.747689E-03  0.000000E+00
 0.547214E+04  0.457993E+06  0.899955E-04  0.000000E+00
 0.541924E+04  0.452023E+06 -0.185492E-03  0.000000E+00
 0.535918E+04  0.446057E+06 -0.323241E-03  0.000000E+00
 0.530093E+04  0.440057E+06 -0.394722E-03  0.000000E+00
 0.524576E+04  0.434000E+06 -0.428871E-03  0.000000E+00
 0.519302E+04  0.427874E+06 -0.440469E-03  0.000000E+00
 0.514172E+04  0.421674E+06 -0.438077E-03  0.000000E+00
 0.509096E+04  0.415395E+06 -0.426953E-03  0.000000E+00
 0.503986E+04  0.409036E+06 -0.410397E-03  0.000000E+00
 0.498741E+04  0.402598E+06 -0.390694E-03  0.000000E+00
 0.493330E+04  0.396084E+06 -0.370508E-03  0.000000E+00
 0.487942E+04  0.389497E+06 -0.351776E-03  0.000000E+00
 0.482671E+04  0.382831E+06 -0.332747E-03  0.000000E+00
 0.477418E+04  0.376086E+06 -0.313503E-03  0.000000E+00
 0.472132E+04  0.369262E+06 -0.294392E-03  0.000000E+00
 0.466787E+04  0.362359E+06 -0.275643E-03  0.000000E+00
 0.461371E+04  0.355380E+06 -0.257394E-03  0.000000E+00
 0.455880E+04  0.348325E+06 -0.239700E-03  0.000000E+00
 0.450309E+04  0.341199E+06 -0.222555E-03  0.000000E+00
 0.444657E+04  0.334002E+06 -0.205946E-03  0.000000E+00
 0.438924E+04  0.326737E+06 -0.189847E-03  0.000000E+00
 0.433111E+04  0.319408E+06 -0.174180E-03  0.000000E+00
 0.427217E+04  0.312017E+06 -0.158917E-03  0.000000E+00
 0.421243E+04  0.304569E+06 -0.143974E-03  0.000000E+00
 0.415189E+04  0.297068E+06 -0.129252E-03  0.000000E+00
 0.409052E+04  0.289515E+06 -0.114624E-03  0.000000E+00
 0.402826E+04  0.281918E+06 -0.997429E-04  0.000000E+00
 0.396480E+04  0.274279E+06 -0.839254E-04  0.000000E+00
